Crew	Level	Craft cost	Uncommon Prime Directive	Basic Casing	Basic Power Cell	Basic Emitter Crystal	Basic Expansion Module	Basic Clothing Pattern	Common Clothing Pattern	Basic Bajoran Phaser	Common Database	Uncommon Database	Common Raktajino	Common Encoded Communique	Common Criminal Activity Report	Uncommon Covert Contacts	Uncommon Clothing Pattern	Basic Polyalloy	Common Polyalloy	Basic Identification Code	Basic Security Reports	Basic Case Files	Uncommon Bajoran PADD	Basic Synthesized Polymer	Basic Alcohol	Common Alcohol	Uncommon Alcohol	Basic Text Book	Common Case Files	Rare Alcohol	Uncommon Spring Wine	Common Orb Experience	Uncommon Security Codes	Basic Optronic Circuit	Common Optronic Circuit	Basic Subprocessor	Basic First Contact Protocol	Basic Holoprogram	Common Ancient Film	Common Holoprogram	Basic Optronic Data Core	Uncommon Polyalloy	Rare Polyalloy	Basic Desktop Monitor	Common Subprocessor	Uncommon Subprocessor	Basic Authorization Code	Common Identification Code	Rare Furs	Basic Database	Uncommon Authorization Code	Common Novel	Rare Database	Super Rare Database	Basic Translation Algorithm	Uncommon Encoded Communique	Uncommon Ancient Film	Super Rare Spices	Uncommon Casing	Rare Casing	Super Rare Clothing Pattern	Common Synthesized Polymer	Uncommon Synthesized Polymer	Basic Isolinear Chips	Uncommon Expansion Module	Super Rare Alcohol	Basic Coffee	Basic Writing PADD	Uncommon Novel	Basic Ancient Film	Common Interlink	Basic Tricorder	Basic Alpha-wave Inducer	Basic Science Experiment	Basic Submicron Scanner	Basic Detronal Scanner	Common Neutron Microscope	Basic TR-580 Medical Tricorder	Common Science Experiment	Common Power Cell	Basic Bone-Knitting Laser	Common Furs	Common Medical Experiment	Basic Scalpel	Basic Autosuture	Common Emitter Crystal	Basic Cortical Stimulator	Common Scalpel	Common Isolinear Chips	Basic Dermal Regenerator	Uncommon Interlink	Basic Hypospray	Common Casing	Common Sensor	Uncommon Sensor	Uncommon Science Experiment	Rare Interlink	Rare Clothing Pattern	Uncommon Isolinear Chips	Basic Writing PADD	Uncommon Medical Experiment	Basic Medical Experiment	Basic Orchids	Rare Isolinear Chips	Common Expansion Module	Super Rare Microconnector	Basic Cortical Monitor	Super Rare Interlink	Basic Physiostimulator	Basic Gravimetric Scanner	Basic Tricorder Mark VII	Basic Writing PADD	Uncommon Furs	Basic Phaser Type 2	Basic Hoverball	Common Spices	Uncommon Spices	Common Gold-Pressed Latinum	Basic Isomodulator	Common Astrometric Chart	Uncommon Astrometric Chart	Basic Sensor	Basic Parametric Scanner	Rare Incense	Rare Gold-Pressed Latinum	Rare Power Cell	Rare Relay	Basic Interphasic Scanner	Rare Subprocessor	Uncommon Relay	Super Rare Synthesized Polymer	Basic TR-590 Tricorder X	Uncommon Bajoran Earring	Uncommon Emitter Crystal	Common Phaser Type 1	Uncommon Phaser Type 1	Rare Synthesized Polymer	Uncommon Raktajino	Common Poker Cards	Uncommon Combadge	Basic Casino Chip	Rare Microconnector	Super Rare Polyalloy	Basic Phaser Type 2	Uncommon Writing PADD	Uncommon Holoprogram	Common Security Codes	Basic Phaser Type 3	Common Authorization Code	Uncommon Tactical Alert	Uncommon Field Rations	Super Rare Casing	Rare Spices	Super Rare Gold-Pressed Latinum	Common Coffee	Basic Isolinear Rod	Basic Starfleet Uniform Pattern	Basic Furs	Basic Combadge	Basic Desktop Monitor	Basic Palm Beacon	Basic Darts	Basic Magnasite-Nitron Tablet	Basic Photon Grenade	Uncommon Microconnector	Super Rare Furs	Basic Micro-Optic Drill	Common Toolbox	Uncommon Scalpel	Basic Hyperspanner	Basic ODN Recoupler	Uncommon Incense	Uncommon Earl Grey Tea	Basic Quantum Chronometer	Uncommon Backpack	Common Microconnector	Basic Neurocortical Monitor	Basic Interlink	Basic Relay	Common Relay	Basic Microconnector	Rare Expansion Module	Basic Subcutaneous Transponder	Rare Sensor	Super Rare Sensor	Basic Phaser Type 2	Basic Encoded Communique	Basic Maquis Security Outfit	Basic Maquis Emblem	Common Maquis Pistol	Common Maquis Emblem	Basic Maquis Command Outfit	Super Rare Isolinear Chips	Basic Incense	Basic Earl Grey Tea	Common 3d Chess Set	Common IDIC	Common Vulcan Meditation Lamp	Uncommon Vulcan Meditation Lamp	Uncommon Power Cell	Rare Emitter Crystal	Uncommon Maquis Pistol	Uncommon IDIC	Basic Communicator	Basic Security Codes	Common Prime Directive	Basic Stun Grenade	Uncommon Optronic Circuit	Basic Interphasic Coil Spanner	Common Self-sealing Stem Bolt	Basic Duotronic Probe	Basic Gravitic Caliper	Common Desealing Rod	Basic Hyperspanner	Basic EPI Capacitor	Basic EJ-7 Interlock	Uncommon Orb Experience	Common Cardassian Encryption Algorithm	Basic Emergency Transponder	Uncommon Cardassian Communicator	Common Cardassian Disruptor Pistol	Common Resistance Cipher	Basic Bajoran Earring	Basic Cardassian Disruptor Pistol	Common Central Command Insignia	Super Rare Emitter Crystal	Uncommon Central Command Insignia	Common Incense	Super Rare Incense	Basic Bajoran PADD	Common Vedek Robes	Uncommon Vedek Robes	Common Bajoran Combadge	Common D'k tahg	Uncommon Klingon Warnog	Uncommon Klingon Armor	Common Agonizer	Common KCA Icon	Uncommon Klingon House Crest	Basic Gagh	Uncommon KCA Icon	Basic Agonizer	Uncommon Bloodwine	Common Gagh	Basic Klingon Baldric	Basic Bloodwine	Common Klingon House Crest	Common Klingon Disruptor Pistol	Common Bat'leth	Basic Klingon Armor	Common Klingon Armor	Basic Klingon Warnog	Uncommon Agonizer	Common Bloodwine	Common Terran Emblem	Basic Mek'leth	Common Starfleet Uniform Pattern	Common Klingon Disruptor Rifle	Uncommon Starfleet Uniform Pattern	Rare Starfleet Uniform Pattern	Super Rare Power Cell	Rare Optronic Circuit	Super Rare Optronic Circuit	Super Rare Subprocessor	Super Rare Relay	Basic Decoupler	Basic Combadge	Uncommon Pattern Enhancer	Super Rare Starfleet Uniform Pattern	Basic Communicator	Basic Spices	Common Writing PADD	Basic Spectral Micrometer	Basic Quantum Oscillator	Basic Radiation Collector	Basic Kurlan Naiskos	Basic Translator	Basic Phaser Type 2	Basic Desktop Monitor	Basic Wrench	Basic Plasma Torch	Basic Micro-Resonator	Basic Laser Scalpel	Basic Flux Coupler	Basic Gold-Pressed Latinum	Basic Starfleet Uniform	Uncommon Gold-Pressed Latinum	Basic Hand Scanner	Common Klingon Warnog	Basic Sonic Driver	Basic Imperial Guard Emblem	Common Andorian Ale	Common Terran Knife	Uncommon Terran Knife	Basic Poisoned Drink	Uncommon Terran Emblem	Uncommon Gagh	Basic Kadis-Kot	Common Tactical Alert	Uncommon Ferengi PADD	Common Phase Pistol	Basic Quantum Flux Regulator	Basic Writing PADD	Basic Vulcan Robes	Basic Medical Scanner	Basic Heavy Scanner	Uncommon Great Material Continuum Texts	Super Rare Expansion Module	Common Field Rations	Basic Variable Field Damper	Uncommon Multidimensional Transporter Device	Common Backpack	Basic Hirogen Hunter Armor	Common Hirogen Hunter Armor	Common Hirogen Alpha Mark	Common Hirogen Tetryon Rifle	Basic Transporter Control Module	Common Hirogen Relic	Basic Compression Rifle	Basic Kazon Furs	Basic Kazon Name	Uncommon Hirogen Scanner	Uncommon Dominion Seal	Common Covert Contacts	Basic Laser Beacon	Common Tulaberry Wine	Basic Dominion PADD	Uncommon Ketracel-white	Basic Dominion Seal	Basic Phaser Type 1	Basic Cardassian Communicator	Common Cardassian PADD	Basic Phaser Type 3	Common Terran Slave Emblem	Uncommon Virtual Display Device	Uncommon Star Empire Icon	Uncommon Romulan Ale	Basic Romulan Encryption Algorithm	Common Romulan Disruptor	Uncommon Romulan Encryption Algorithm	Basic Romulan Ale	Uncommon Jem'Hadar Scanner	Basic Jem'Hadar Knife	Common Jem'Hadar Knife	Common Kazon Disruptor Pistol	Basic Pattern Enhancer	Basic Prime Directive	Basic Klingon Disruptor Pistol	Basic Phaser Type 3	Common Rules of Acquisition	Common Tube Grubs	Basic Tube Grubs	Uncommon Rules of Acquisition	Common Great Material Continuum Texts	Uncommon Tube Grubs	Uncommon Slug-o-Cola	Uncommon Latinum Tooth Sharpener	Common Boy Scout Badge	Basic Romulan Disruptor	Uncommon Kanar	Uncommon Augment Icon	Basic Ceti Eel	Basic Rules of Acquisition	Basic Poker Cards	Common Earl Grey Tea	Basic Starfleet Uniform	Basic Graviton Emitter	Basic Medical Scanner	Uncommon Andorian Rifle	Basic Heavy Duty Tricorder
Indignant Seven	80	437100	0	1	1	0	1	0	0	0	16	4	1	4	2	0	4	62	11	0	2	0	0	0	0	0	0	2	0	0	0	0	0	8	4	4	0	0	0	2	2	15	7	0	6	2	0	2	0	12	0	0	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	4	12	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	2	0	8	2	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	4	8	0	2	5	0	12	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	2	68	14	7	34	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	2	3	0	0	0	0	0	0	0	2	2	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amanda Grayson	20	601550	0	10	6	0	0	164	16	0	8	26	0	0	0	0	12	0	0	12	0	0	0	16	90	48	9	36	0	2	1	1	0	4	4	6	25	11	2	1	1	0	0	0	0	0	2	0	6	24	0	3	13	4	0	0	1	0	4	0	2	25	4	4	0	0	14	8	12	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	5	0	6	0	4	0	0	0	0	2	2	0	2	8	0	0	0	0	0	0	0	54	0	0	0	0	12	0	0	0	0	0	4	0	8	0	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	6	0	1	0	0	0	12	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silik	50	524250	0	38	18	10	0	6	6	0	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4	8	0	4	0	0	4	0	0	0	8	0	0	0	0	0	2	0	0	0	0	4	8	30	1	0	4	0	24	4	0	0	4	4	0	0	0	8	6	0	0	0	0	0	1	0	0	19	0	0	0	4	1	4	0	24	9	8	0	0	0	0	0	2	0	8	6	4	0	4	0	0	0	6	4	6	0	0	0	0	0	0	0	0	0	0	18	0	0	0	44	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	18	0	0	16	0	0	2	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tourist Tucker	1	702400	4	16	28	0	2	30	0	0	22	4	0	0	0	0	18	24	40	34	0	0	0	4	115	76	18	4	0	8	0	0	0	4	4	26	27	10	2	2	2	6	2	0	16	4	20	14	0	22	0	11	7	0	0	0	1	0	8	4	0	18	6	0	4	3	12	6	0	6	4	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	32	4	18	0	6	9	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	20	0	0	0	0	0	0	13	4	2	2	0	0	0	0	0	0	1	28	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	20	0	0	0	0	8	8	4	4	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	18	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Goddess of Empathy Troi	1	706500	0	22	8	14	0	110	0	0	10	106	0	0	0	0	20	2	0	0	0	0	0	148	31	18	3	13	0	2	0	0	0	34	6	10	13	52	3	3	3	0	0	0	2	0	2	0	0	57	0	2	31	4	26	28	1	0	6	2	3	41	20	1	0	0	8	3	2	4	0	0	9	0	0	0	0	14	0	6	0	0	0	0	0	0	0	0	0	6	0	5	14	2	28	0	0	0	0	9	2	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34	0	0	0	4	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Durango Troi	30	767450	0	34	0	12	0	48	0	0	36	4	6	3	12	1	22	18	0	68	12	0	0	79	137	72	31	0	0	8	0	0	16	0	0	2	6	8	0	0	0	4	8	0	0	0	10	9	0	24	2	1	3	0	0	0	5	0	12	4	0	44	10	0	0	4	10	1	6	5	0	0	8	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	10	6	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	2	0	0	0	0	1	0	4	7	0	4	0	0	0	0	0	14	0	0	0	0	0	0	4	4	0	2	0	16	16	10	0	37	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	33	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alternate Future T'Pol	1	514250	0	16	0	0	0	112	0	0	34	15	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	8	0	8	2	0	4	12	9	2	0	6	0	0	1	0	0	0	0	8	28	2	0	1	0	0	0	5	0	1	2	0	16	0	0	0	0	0	2	0	24	0	0	0	0	0	0	0	0	6	0	0	8	14	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	14	0	0	0	3	2	19	1	6	0	0	0	0	2	0	4	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	57	0	0	0	0	0	0	0	0	8	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	18	9	2	12	10	7	0	0	0	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sybok	20	797300	0	42	4	20	0	32	0	0	10	20	0	1	0	1	0	4	0	12	0	0	0	0	78	20	6	12	0	0	0	0	0	4	4	28	22	14	2	2	2	8	12	0	16	15	12	6	0	62	0	18	16	0	0	0	2	0	6	1	0	9	4	0	0	0	0	12	0	0	0	12	12	1	0	0	0	4	0	12	0	0	0	0	16	0	0	0	2	3	0	1	12	2	0	4	0	16	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	4	0	0	0	1	1	30	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	28	0	0	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0	28	8	17	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dr. Leonard McCoy	70	442550	4	44	6	16	0	6	0	0	16	6	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	6	0	0	0	10	0	0	0	58	0	0	4	0	0	0	0	0	0	1	2	1	0	9	0	0	6	0	0	0	0	24	10	34	0	0	2	5	1	8	0	0	3	0	0	0	0	0	2	4	0	27	8	4	4	7	0	6	2	8	0	8	0	2	4	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chancellor Gorkon	20	783300	0	224	2	4	6	36	0	0	10	10	1	0	4	0	12	108	12	0	1	1	0	0	7	2	11	8	3	5	0	0	2	2	2	18	17	3	1	1	1	0	0	6	9	2	5	4	8	110	2	2	4	0	0	0	1	0	20	9	4	2	2	8	32	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	64	0	0	0	114	0	0	0	0	0	16	0	0	0	2	0	52	0	0	0	0	0	0	0	0	3	28	0	0	10	0	0	0	0	0	2	6	0	12	0	6	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	64	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	1	41	0	0	7	0	6	7	46	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feezal Phlox	1	682650	0	4	0	0	16	66	2	0	9	0	0	0	0	0	0	88	24	0	0	0	0	0	24	34	3	2	0	1	0	0	0	8	10	40	25	12	0	0	0	24	6	0	4	1	0	0	0	22	0	0	2	0	3	0	0	0	4	0	0	22	12	0	5	0	0	0	0	2	0	24	0	12	14	0	20	1	9	2	0	0	0	0	0	0	0	0	0	0	0	0	12	38	25	5	0	0	6	1	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	1	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	52	0	1	0	0	0	0	0	0	0	0	0	4	0	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	8	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	40	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Torchbearer Rejac	10	634350	0	0	0	12	20	162	0	0	33	15	3	0	13	0	32	24	62	0	5	4	0	0	0	0	0	0	11	0	0	0	4	0	0	20	0	4	0	0	0	42	10	20	3	0	0	6	18	18	4	0	2	0	0	0	0	2	0	0	3	0	8	0	0	0	0	0	0	0	0	0	8	0	20	0	0	0	0	4	0	9	0	0	0	0	0	0	0	0	0	0	60	0	24	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	2	22	0	4	24	0	0	0	18	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	6	4	0	4	0	0	52	0	54	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niners Sisko	60	560700	0	2	2	8	0	128	32	0	58	24	0	0	0	0	28	0	12	0	0	0	0	96	0	0	0	12	0	0	0	0	1	4	0	0	4	0	24	24	0	0	13	0	0	0	0	15	15	26	1	0	4	0	12	2	6	0	2	0	2	52	34	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	192	16	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
