Name	Have	Short name	Max rarity	Rarity	Level	Immortal	Equipment	Tier	In portal	Collections	Voyage rank	Gauntlet rank	Command core	Command min	Command max	Diplomacy core	Diplomacy min	Diplomacy max	Engineering core	Engineering min	Engineering max	Medicine core	Medicine min	Medicine max	Science core	Science min	Science max	Security core	Security min	Security max	Traits	Action name	Boosts	Amount	Initialize	Duration	Cooldown	Bonus Ability	Trigger	Uses per Battle	Handicap Type	Handicap Amount	Accuracy	Crit Bonus	Crit Rating	Evasion	Charge Phases
Dr. Carol Marcus	TRUE	Marcus	3	3	100	1	0 1 2 3	7	TRUE	The Daystrom Award, Rare Crew	874	846	352	79	168	0	0	0	0	0	0	0	0	0	522	96	236	0	0	0	["Federation","Exobiology","Human","Civilian","Innovator","female","organic","tng","crew_max_rarity_3"]	Master Chef	Accuracy	5	8	12	12						163	225	465	150	
Commander Barak	TRUE	Barak	4	1	20	0		8	TRUE		733	840	109	16	36	0	0	0	0	0	0	0	0	0	0	0	0	74	15	32	["Klingon","Brutal","Warrior","nonhuman","male","organic","tos","barak","crew_max_rarity_4"]	Honor and Glory	Attack	6	10	10	20	Immediately repairs Hulls by 15%	None				600	30	105	400	
Lwaxana Troi	TRUE	Troi	3	3	100	1	0 1 2 3	5	TRUE	New Life and New Civilizations, Rare Crew	857	794	384	70	182	471	141	337	0	0	0	0	0	0	0	0	0	0	0	0	["Federation","Diplomat","Betazoid","Romantic","Civilian","Telepath","Ambassador","nonhuman","female","organic","tng","lwaxana","crew_max_rarity_3"]	I Adore Diplomacy	Accuracy	4	10	12	16	+10000 to Crit Bonus	None				175	155	64	490	
Festive Lwaxana Troi	TRUE	Troi	4	4	100	1	0 1 2 3	9	TRUE	New Life and New Civilizations	736	691	731	94	197	836	206	440	0	0	0	0	0	0	0	0	0	0	0	0	["Federation","Diplomat","Betazoid","Romantic","Civilian","Telepath","Ambassador","nonhuman","female","organic","ds9","lwaxana","crew_max_rarity_4"]	Dance With Me	Evasion	6	8	10	16	Shield regeneration +2000	None				400	160	115	650	
Mirror Jennifer Sisko	TRUE	Jennifer	4	4	100	1	0 1 2 3	8	TRUE	Smoke and Mirrors	512	360	0	0	0	545	201	455	622	71	150	0	0	0	769	138	383	0	0	0	["Human","Astrophysicist","Civilian","Terran Rebellion","Mirror Universe","female","organic","ds9","mirror","crew_max_rarity_4"]	Exploit Weakness	Accuracy	5	6	10	12	+1000 to Crit Rating	None				925	100	135	1000	After 6s +undefined to Crit Rating; After 14s +undefined to Crit Rating
Senator Cretak	TRUE	Cretak	3	3	100	1	0 1 2 3	5	TRUE	The Neutral Zone, New Life and New Civilizations, Rare Crew	875	821	0	0	0	497	104	266	0	0	0	0	0	0	0	0	0	325	71	221	["Romulan","Diplomat","nonhuman","female","organic","ds9","cretak","crew_max_rarity_3"]	Romulan Expansion	Evasion	3	0	6	8	+10% to Attack Speed	None						136	1040	After 6s +undefined% to Attack Speed; After 14s +undefined% to Attack Speed
Icheb	TRUE	Icheb	4	4	100	1	0 1 2 3	7	TRUE	Resistance Is Futile, The Daystrom Award	750	698	0	0	0	0	0	0	853	160	471	0	0	0	691	95	216	0	0	0	["Civilian","Brunali","Borg","Astrophysicist","Prodigy","Innovator","male","organic","voy","icheb","crew_max_rarity_4"]	In Position!	Accuracy	6	10	8	12	Immediately deals 350% damage	Position				290	225	145	505	
Tactical Michael Burnham	TRUE	Burnham	4	4	100	1	0 1 2 3	4	TRUE	The Daystrom Award	533	570	769	70	193	0	0	0	392	54	149	0	0	0	0	0	0	877	225	457	["Federation","Starfleet","Astrophysicist","Xenoanthropology","Human","Innovator","Resourceful","female","organic","dsc","bridge_crew","burnham","crew_max_rarity_4"]	I Am Trying To Save You	Attack	8	6	10	8			2			675	100	185	490	
Graduation Michael Burnham	TRUE	Burnham	4	4	100	1	0 1 2 3	7	TRUE		662	638	0	0	0	0	0	0	805	74	203	0	0	0	1025	203	562	0	0	0	["Federation","Civilian","Astrophysicist","Xenoanthropology","Human","female","organic","dsc","burnham","crew_max_rarity_4"]	Lofty Expectations	Accuracy	9	8	8	10			2			500	100	280	200	
Prisoner Michael Burnham	TRUE	Burnham	2	2	100	1	0 1 2 3	8	TRUE	Uncommon Crew	882	898	0	0	0	139	47	118	0	0	0	0	0	0	441	34	160	304	23	61	["Federation","Starfleet","Prisoner","Xenoanthropology","Duelist","Human","female","organic","dsc","burnham","crew_max_rarity_2"]	Improvised Assault	Accuracy	3	6	10	10						190	220	93	260	
First Officer Burnham	TRUE	Burnham	5	5	100	0	0 1 2 3	1	TRUE		4	383	1563	99	332	0	0	0	0	0	0	0	0	0	1095	234	540	774	57	116	["Federation","Starfleet","Astrophysicist","Human","Xenoanthropology","Resourceful","female","organic","dsc","bridge_crew","first_officer","commander","burnham","crew_max_rarity_5"]	We Need To Strike First!	Evasion	8	12	5	10	Immediately deals 400% damage	None	2			475	70	85	740	
Prospect Michael Burnham	TRUE	Burnham	4	4	100	1	0 1 2 3	6	TRUE		498	594	0	0	0	384	97	197	767	57	163	0	0	0	973	155	432	0	0	0	["Federation","Civilian","Astrophysicist","Xenoanthropology","Human","female","organic","dsc","burnham","crew_max_rarity_4"]	Respect Is Earned	Evasion	5	8	8	10	Increase boarding damage by 30%	Boarding				500	130	150	350	
Desert Michael Burnham	TRUE	Burnham	2	2	100	1	0 1 2 3	8	TRUE	Uncommon Crew	900	900	0	0	0	316	27	87	0	0	0	0	0	0	412	88	231	0	0	0	["Federation","Starfleet","Explorer","Xenoanthropology","Human","female","organic","dsc","burnham","bridge_crew","first_officer","commander","crew_max_rarity_2"]	A Storm is Coming	Evasion	4	10	10	12						290	150	60	165	
Away Team Michael Burnham	TRUE	Burnham	5	1	100	0	0 1 2 3	4	TRUE		156	15	0	0	0	0	0	0	277	114	321	0	0	0	412	269	601	795	319	819	["Federation","Prisoner","Astrophysicist","Human","Xenoanthropology","Resourceful","Survivalist","female","organic","dsc","burnham","crew_max_rarity_5"]	I'm Not Staying To Make Friends	Evasion	8	8	6	12	Immediately deals 300% damage	Position				400	125	210	200	
Fugitive Burnham	TRUE	Burnham	4	3	50	0		3	TRUE		453	731	0	0	0	300	10	55	0	0	0	109	22	83	0	0	0	208	17	31	["Federation","Starfleet","Astrophysicist","Xenoanthropology","Human","Resourceful","Desperate","female","organic","dsc","burnham","bridge_crew","crew_max_rarity_4"]	Are You Real?	Attack	6	4	5	8						265	225	80	300	After 4s +2 Attack (+0s Cooldown); After 8s +3 Attack (+2s Cooldown)
Mirror Burnham	TRUE	Burnham	4	4	100	0	0 1 2 3	2	TRUE	Smoke and Mirrors	451	573	408	41	127	1026	188	371	0	0	0	0	0	0	0	0	0	745	139	267	["Mirror Universe","Undercover Operative","Federation","Starfleet","Civilian","Astrophysicist","Xenoanthropology","Human","female","organic","dsc","burnham","crew_max_rarity_4"]	The Old Michael Burnham is Dead	Attack	9	6	10	10						495	200	145	440	
Mirror K'Ehleyr	TRUE	K'Ehleyr	4	4	100	1	0 1 2 3	7	TRUE	Timelines' Originals, Smoke and Mirrors	619	653	453	68	181	715	41	123	0	0	0	0	0	0	0	0	0	780	185	407	["Klingon","Brutal","Tactician","Duelist","Human","Klingon-Cardassian Alliance","Mirror Universe","nonhuman","female","organic","kehleyr","mirror","original","ds9","tng","crew_max_rarity_4"]	I Do Bite	Attack	7	12	10	14	Immediately deals 300% damage	Cloak				150	260	308	75	
Ambassador K'Ehleyr	TRUE	K'Ehleyr	4	3	10	0		8	TRUE		763	892	0	0	0	95	16	33	0	0	0	0	0	0	0	0	0	74	24	45	["Klingon","Human","Brutal","Ambassador","Communicator","Federation","nonhuman","female","organic","kehleyr","tng","crew_max_rarity_4"]	Trapped Between Cultures	Evasion	6	6	6	6						325	255	168	475	After 4s +1 Evasion (+2s Cooldown); After 8s +2 Evasion (+4s Cooldown)
Resistance Shakaar	TRUE	Shakaar	4	4	100	1	0 1 2 3	9	TRUE	Valor in Combat	791	829	899	55	136	0	0	0	0	0	0	0	0	0	0	0	0	560	146	300	["Bajoran","Civilian","Veteran","Saboteur","Tactician","nonhuman","male","organic","ds9","shakaar","crew_max_rarity_4"]	Cell Leader	Accuracy	7	12	10	12	Increase bonus boost by +2	Position		Evasion	3	1290	600		290	
Teenager Nog	TRUE	Nog	1	1	100	1	0 1 2 3	8	TRUE	Rules Of Acquisition, Common Crew	935	918	0	0	0	225	47	140	0	0	0	0	0	0	0	0	0	224	52	141	["Ferengi","Civilian","Scoundrel","Gambler","Merchant","nonhuman","male","organic","ds9","nog","crew_max_rarity_1"]	Hack Systems	Evasion	1	0	10	10						290		162	75	After 4s +1 Evasion (+2s Cooldown); After 10s +2 Evasion (+4s Cooldown)
Cadet Nog	TRUE	Nog	2	2	100	1	0 1 2 3	6	TRUE	Rules Of Acquisition, Uncommon Crew	898	943	0	0	0	301	23	60	179	6	15	0	0	0	0	0	0	371	33	130	["Ferengi","Starfleet","Gambler","Merchant","nonhuman","male","organic","ds9","nog","crew_max_rarity_2"]	Enthusiasm	Evasion	4	8	10	12				Shield Regeneration	500	265		70	295	
Cadet Nog	TRUE	Nog	2	1	1	0		6	TRUE	Rules Of Acquisition, Uncommon Crew	898	943	0	0	0	30	5	10	15	2	7	0	0	0	0	0	0	37	6	13	["Ferengi","Starfleet","Gambler","Merchant","nonhuman","male","organic","ds9","nog","crew_max_rarity_2"]	Enthusiasm	Evasion	4	8	10	12				Shield Regeneration	500	265		70	295	
Tuxedo Nog	TRUE	Nog	5	1	60	0		6	TRUE	Rules Of Acquisition, To Boldly Go, Holodeck Enthusiasts	192	138	255	44	54	371	59	168	125	17	55	0	0	0	0	0	0	0	0	0	["Ferengi","Costumed","Federation","Starfleet","Inspiring","Hero","Desperate","nonhuman","male","organic","ds9","nog","crew_max_rarity_5"]	Welcome To Las Vegas	Evasion	8	8	8	10	Increase bonus boost by +4	Position				540	255	210	325	
Safecracker Nog	TRUE	Nog	4	4	100	1	0 1 2 3	7	TRUE	Rules Of Acquisition	501	679	0	0	0	467	64	140	1016	150	377	0	0	0	708	64	165	0	0	0	["Ferengi","Costumed","Federation","Starfleet","Criminal","Resourceful","nonhuman","male","organic","ds9","nog","crew_max_rarity_4"]	Piece of Cake	Accuracy	7	6	8	10						390	200	180	375	
Reinforcements Stamets	TRUE	Stamets	4	4	100	1	0 1 2 3	8	TRUE		748	833	0	0	0	0	0	0	0	0	0	0	0	0	989	98	258	712	67	210	["Human","Starfleet","Federation","Exomycologist","Prodigy","male","organic","dsc","lieutenant","stamets","crew_max_rarity_4"]	Calling Reinforcements	Evasion	7	16	12	10	+20% to Attack Speed	None				400	100	100	500	
Navigator Stamets	TRUE	Stamets	5	1	100	0	0 1 2 3	6	TRUE		173	255	274	120	253	0	0	0	986	172	445	0	0	0	573	177	379	0	0	0	["Human","Explorer","Pilot","Exomycologist","male","organic","dsc","lieutenant","stamets","crew_max_rarity_5"]	Physics As Biology	Evasion	8	12	6	10	Immediately repairs Hulls by 20%	None	2			500	200	130	250	
CMO Bashir	TRUE	Bashir	1	1	100	1	0 1 2 3	7	TRUE	The Eugenics Wars, Do No Harm, Common Crew	946	940	167	24	62	0	0	0	0	0	0	261	36	150	0	0	0	0	0	0	["Human","Federation","Starfleet","Physician","Engineered","Cyberneticist","Gambler","nonhuman","male","organic","ds9","lieutenant","bashir","crew_max_rarity_1"]	Frontier Medicine	Evasion	1	12	14	10	Shield regeneration +500	None				305	50	68	170	
Bashir, Julian Bashir	TRUE	Bashir	5	1	100	0	0 1 2 3	6	TRUE	The Eugenics Wars, Do No Harm, Our Man Bashir	234	169	0	0	0	645	108	225	0	0	0	618	221	449	0	0	0	429	223	446	["Human","Federation","Starfleet","Physician","Engineered","Costumed","Cyberneticist","Undercover Operative","Gambler","nonhuman","male","organic","ds9","lieutenant","bashir","crew_max_rarity_5"]	Bashir, Secret Agent	Evasion	8	6	12	12						1700	225	245	525	
Alternate Future Bashir	TRUE	Bashir	5	1	60	0		7	TRUE	The Eugenics Wars, Do No Harm	333	116	101	25	95	0	0	0	0	0	0	358	60	181	296	47	112	0	0	0	["Human","Federation","Starfleet","Physician","Engineered","Cyberneticist","Gambler","nonhuman","male","organic","ds9","lieutenant","bashir","crew_max_rarity_5"]	Healing Touch	Accuracy	8	12	12	20	Immediately repairs Hulls by 20%	None		Attack	3	1300		300	1150	
Changeling Bashir	TRUE	Changeling	4	4	100	1	0 1 2 3	6	TRUE	Do No Harm	639	353	0	0	0	0	0	0	290	109	246	745	113	267	0	0	0	660	205	486	["Changeling","Dominion","Starfleet","Physician","Undercover Operative","Saboteur","Villain","nonhuman","male","organic","ds9","lieutenant","bashir","crew_max_rarity_4"]	Healing Touch	Accuracy	7	12	12	20	Immediately repairs Hulls by 20%	None		Attack	3	865	265	120	875	
RAF Julian Bashir	TRUE	Bashir	4	4	100	1	0 1 2 3	4	TRUE	The Eugenics Wars, Do No Harm, Holodeck Enthusiasts	769	834	0	0	0	0	0	0	0	0	0	954	65	164	0	0	0	676	129	277	["Human","Pilot","Hero","Costumed","Engineered","Physician","nonhuman","male","organic","ds9","bashir","crew_max_rarity_4"]	Hedge Hopping	Evasion	7	3	8	12						830	725	104	515	
Racquetball Bashir	TRUE	Bashir	3	3	100	1	0 1 2 3	1	TRUE	The Eugenics Wars, Do No Harm, Rare Crew	813	697	201	54	163	0	0	0	0	0	0	397	137	472	477	26	87	0	0	0	["Human","Federation","Starfleet","Athlete","Prodigy","Engineered","Physician","nonhuman","male","organic","ds9","bashir","crew_max_rarity_3"]	Team Captain	Evasion	6	8	12	12				Attack	1	560	130	158	625	
Bell Riots Bashir	TRUE	Bashir	5	5	100	0	0 1 2 3	6	TRUE	The Eugenics Wars, Do No Harm	240	340	0	0	0	974	273	550	0	0	0	1374	152	416	0	0	0	679	9	21	["Human","Starfleet","Federation","Desperate","Costumed","Physician","Engineered","nonhuman","male","organic","ds9","bashir","crew_max_rarity_5"]	Field Medicine	Evasion	7	12	8	12	Immediately repairs Hulls by 20%	None	2			650	250	235	350	
Prince Bashir	TRUE	Bashir	5	3	70	0		5	TRUE	The Eugenics Wars, Do No Harm, Timelines' Originals	220	70	520	78	197	368	79	139	0	0	0	204	49	112	0	0	0	0	0	0	["Human","Starfleet","Federation","Royalty","Costumed","Physician","Engineered","nonhuman","male","organic","ds9","bashir","original","crew_max_rarity_5"]	This Is Where Heroes Are Made	Attack	8	6	6	14	+20% to Attack Speed	Cloak				300	225	210	350	
Captive Bashir	TRUE	Bashir	4	4	100	1	0 1 2 3	1	TRUE	The Eugenics Wars, Do No Harm	449	280	0	0	0	350	139	268	0	0	0	941	213	531	0	0	0	716	99	258	["Human","Starfleet","Federation","Desperate","Prisoner","Physician","Engineered","Counselor","nonhuman","male","organic","ds9","bashir","crew_max_rarity_4"]	Run Like Hell	Evasion	6	8	8	6	Shield regeneration +1000	None				435	225	165	150	After 8s Shield regeneration +2000; After 16s Shield regeneration +2500
Dress Uniform Bashir	TRUE	Bashir	4	4	100	1	0 1 2 3	4	TRUE	The Eugenics Wars, Do No Harm	544	587	0	0	0	402	47	151	0	0	0	875	211	472	759	71	158	0	0	0	["Human","Starfleet","Federation","Cyberneticist","Physician","Engineered","Gambler","nonhuman","male","organic","ds9","bashir","crew_max_rarity_4"]	Pleasure to Meet You!	Attack	8	6	6	8						215	230	93	425	
Scientist Degra	TRUE	Degra	5	1	100	0	0 1 2 3	7	TRUE	The Daystrom Award, To Boldly Go, Delphic Expanse	379	496	0	0	0	0	0	0	868	99	320	0	0	0	783	224	594	0	0	0	["Xindi","Astrophysicist","Inspiring","Innovator","nonhuman","male","organic","ent","degra","crew_max_rarity_5"]	Prototype Test	Evasion	5	0	3	10	Immediately deals 150% damage	None				920	790	95	1400	After 4s Immediately deals 250% damage; After 10s Immediately deals 400% damage
Commander Kelby	TRUE	Kelby	4	4	100	1	0 1 2 3	9	TRUE	Spit and Bailing Wire	785	856	646	92	214	0	0	0	943	74	162	0	0	0	0	0	0	0	0	0	["Human","Starfleet","Jury Rigger","Explorer","male","organic","ent","commander","kelby","crew_max_rarity_4"]	Good to Go	Accuracy	5	1	12	20	Immediately repairs Hulls by 10%	None				365	200	134	650	After 8s Immediately repairs Hulls by 20%; After 16s Immediately repairs Hulls by 30%
Prison Break Lorca	TRUE	Lorca	4	4	100	1	0 1 2 3	7	TRUE	Smoke and Mirrors	710	434	900	202	446	0	0	0	0	0	0	0	0	0	0	0	0	579	216	440	["Prisoner","Starfleet","Human","Brutal","Desperate","Tactician","Mirror Universe","Federation","male","organic","dsc","lorca","crew_max_rarity_4"]	Starfleet Didn't Start This War	Evasion	9	6	10	15			2			200	100	175	450	
Alidar Jarok	TRUE	Jarok	4	4	50	0	0 1	6	TRUE	The Neutral Zone, Valor in Combat	505	82	302	52	134	269	16	44	0	0	0	0	0	0	0	0	0	128	16	53	["Romulan","Veteran","Desperate","Tactician","High Command","nonhuman","male","organic","jarok","ds9","admiral","crew_max_rarity_4"]	I Am Not A Traitor	Accuracy	7	10	10	16	Shield regeneration +2000	None				200		96	315	
Malik	TRUE	Malik	4	1	10	0		9	TRUE	The Eugenics Wars	599	645	30	7	14	55	12	25	0	0	0	0	0	0	0	0	0	77	16	33	["Human","Augments","Engineered","Brutal","Civilian","male","organic","ent","malik","crew_max_rarity_4"]	This Is An Act Of Mercy	Attack	7	8	6	10	Increase boarding damage by 30%	Boarding				425	140	130	400	
Captain Kirk	TRUE	Kirk	2	2	100	1	0 1 2 3	6	TRUE	To Boldly Go, Uncommon Crew	884	854	365	80	176	298	44	144	0	0	0	0	0	0	0	0	0	148	28	85	["Human","Federation","Starfleet","Inspiring","Romantic","Explorer","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_2"]	Boldly Go	Attack	3	6	10	10						320	135		215	
Command Wrap Kirk	TRUE	Kirk	3	3	100	1	0 1 2 3	7	TRUE	To Boldly Go, Rare Crew	803	362	417	192	390	213	87	215	0	0	0	0	0	0	0	0	0	266	133	379	["Human","Federation","Starfleet","Inspiring","Romantic","Duelist","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_3"]	Captain's Prerogative	Accuracy	6	6	8	10				Evasion	2	805	365		365	
Nexus Kirk	TRUE	Kirk	4	4	100	1	0 1 2 3	6	TRUE	To Boldly Go	606	107	726	233	424	273	237	538	0	0	0	0	0	0	0	0	0	582	112	248	["Human","Federation","Starfleet","Inspiring","Romantic","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_4"]	Make a Difference	Accuracy	7	12	12	12						965	450		590	
Romulan Kirk	TRUE	Kirk	4	4	100	1	0 1 2 3	6	TRUE	The Neutral Zone	604	87	274	140	366	830	146	386	0	0	0	0	0	0	0	0	0	448	190	638	["Human","Federation","Starfleet","Undercover Operative","Spy","Romulan","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_4"]	Masquerade	Accuracy	8	6	6	10				Shield Regeneration	800	300	200	43	390	
Platonian Kirk	TRUE	Kirk	4	4	100	1	0 1 2 3	6	TRUE	To Boldly Go	567	233	720	156	303	250	138	299	0	0	0	0	0	0	0	0	0	799	220	448	["Human","Federation","Starfleet","Inspiring","Romantic","Explorer","Telekinetic","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_4"]	Telekinetic Barrage	Accuracy	9	6	12	14	+5000 to Crit Bonus	None				150	735	10	425	
Gangster Kirk	TRUE	Kirk	5	3	60	0		6	TRUE		210	205	413	42	114	376	49	95	0	0	0	0	0	0	0	0	0	171	24	61	["Federation","Starfleet","Civilian","Human","Marksman","Crafty","Criminal","male","organic","tos","bridge_crew","captain","kirk","crew_max_rarity_5"]	Piece of the Action	Accuracy	8	12	10	14	+1000 to Crit Rating	None				455	105	210	1405	
Rura Penthe Kirk	TRUE	Kirk	5	1	100	0	0 1 2 3	5	TRUE	To Boldly Go	345	223	0	0	0	467	260	643	0	0	0	0	0	0	0	0	0	1111	227	450	["Human","Federation","Starfleet","Romantic","Inspiring","Duelist","Desperate","Criminal","Prisoner","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_5"]	Aim for the 'Knee'	Accuracy	7	6	6	12	Immediately deals 500% damage	Cloak				550	230	50	625	
Survivalist Kirk	TRUE	Kirk	5	1	100	0	0 1 2 3	3	TRUE	To Boldly Go	165	39	0	0	0	0	0	0	506	237	486	0	0	0	812	329	798	245	76	197	["Human","Federation","Starfleet","Inspiring","Desperate","Resourceful","Hero","Survivalist","Crafty","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_5"]	A Most Promising Species	Evasion	8	8	6	12	Immediately deals 400% damage	None	2			225	200	148	250	
Incognito Kirk	TRUE	Kirk	4	4	100	0	0 1 2 3	4	TRUE	To Boldly Go	547	689	974	118	253	412	52	113	0	0	0	0	0	0	0	0	0	722	131	282	["Human","Federation","Starfleet","Inspiring","Undercover Operative","Investigator","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_4"]	Plans To The McKinley Rocket Base	Evasion	7	8	8	12	+1000 to Crit Rating	Position				440	100	108	300	
Evil Kirk	TRUE	Kirk	4	4	100	1	0 1 2 3	7	TRUE		698	695	726	113	261	0	0	0	0	0	0	0	0	0	0	0	0	984	179	389	["Human","Federation","Starfleet","Brutal","Villain","Survivalist","male","organic","tos","captain","kirk","crew_max_rarity_4"]	I'm Captain Kirk!	Attack	6	10	8	12	+25% to Attack Speed	None				400	70	150	375	
Roman Captive Kirk	TRUE	Kirk	4	4	100	0	0 1 2 3	2	TRUE		433	648	760	102	200	1070	184	302	0	0	0	0	0	0	0	0	0	534	69	145	["Human","Federation","Starfleet","Desperate","Romantic","Prisoner","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_4"]	All Men are Brothers	Accuracy	8	8	6	10	+5000 to Crit Bonus	None				450	100	147	350	
Laborer Kirk	TRUE	Kirk	5	2	100	0	0 1 2 3	2	TRUE	Spit and Bailing Wire	50	292	702	121	332	339	73	171	1108	239	543	0	0	0	0	0	0	0	0	0	["Human","Federation","Starfleet","Jury Rigger","Resourceful","Romantic","Thief","Desperate","male","organic","tos","captain","bridge_crew","kirk","crew_max_rarity_5"]	How Are The Stone Knives And Bearskins?	Accuracy	7	8	8	12	Immediately repairs Hulls by 25%	None				200	200	147	375	
Dr. Reyga	TRUE	Reyga	3	3	100	1	0 1 2 3	4	TRUE	Rules Of Acquisition, The Daystrom Award, Rare Crew	877	910	0	0	0	345	38	147	0	0	0	0	0	0	594	44	168	0	0	0	["Ferengi","Astrophysicist","Innovator","Maverick","nonhuman","male","organic","tng","reyga","crew_max_rarity_3"]	Metaphasic Shield	Accuracy	3	6	3	10	Immediately repairs Shields by 10%	None				425		25	640	After 6s Immediately repairs Shields by 15% (+2s Cooldown); After 16s Immediately repairs Shields by 25% (+4s Cooldown)
Lt. Jadzia Dax	TRUE	J. Dax	1	1	100	1	0 1 2 3	9	TRUE	Common Crew	938	959	0	0	0	0	0	0	241	27	66	0	0	0	304	14	56	0	0	0	["Federation","Starfleet","Exobiology","Astrophysicist","Trill","Gambler","Pilot","nonhuman","female","organic","ds9","lieutenant","bridge_crew","dax","crew_max_rarity_1"]	Trill Memories	Attack	1	6	10	10						235	10	20	65	
1701 Jadzia Dax	TRUE	J. Dax	4	4	100	1	0 1 2 3	5	TRUE		700	847	0	0	0	0	0	0	592	43	117	0	0	0	943	69	145	349	69	140	["Federation","Starfleet","Exobiology","Astrophysicist","Trill","Gambler","Undercover Operative","Pilot","nonhuman","female","organic","ds9","lieutenant","bridge_crew","dax","crew_max_rarity_4"]	Who You've Been	Evasion	7	8	10	8						1140	20	225	1390	
Lt. Commander Jadzia Dax	TRUE	J. Dax	5	2	100	0	0 1 2 3	7	TRUE		269	181	0	0	0	551	172	338	273	140	300	0	0	0	916	221	472	0	0	0	["Federation","Starfleet","Exobiology","Astrophysicist","Trill","Gambler","Pilot","nonhuman","female","organic","ds9","lieutenant_commander","bridge_crew","dax","crew_max_rarity_5"]	Know Who You Are	Accuracy	8	6	6	6						1015	245	240	575	After 4s +1 Accuracy (+2s Cooldown); After 8s +2 Accuracy (+4s Cooldown)
Festive Jadzia Dax	TRUE	J. Dax	2	2	100	1	0 1 2 3	2	TRUE	Uncommon Crew	914	935	0	0	0	293	32	78	0	0	0	0	0	0	426	36	141	0	0	0	["Federation","Starfleet","Exobiology","Astrophysicist","Trill","Gambler","Pilot","Romantic","nonhuman","female","organic","ds9","lieutenant","bridge_crew","dax","crew_max_rarity_2"]	Toruk-DOH!	Attack	3	8	6	10	+950 to Crit Rating	Cloak				260	80	25	515	
Desert Ezri Dax	TRUE	E. Dax	1	1	100	1	0 1 2 3	10	TRUE	Common Crew	940	937	0	0	0	210	31	76	0	0	0	256	43	130	0	0	0	0	0	0	["Federation","Starfleet","Trill","Counselor","nonhuman","female","organic","ds9","lieutenant","bridge_crew","dax","crew_max_rarity_1"]	Unexpected Situation	Attack	1	6	10	10						180	20	25	145	
Sniper Ezri Dax	TRUE	E. Dax	3	3	100	1	0 1 2 3	3	TRUE	Rare Crew	798	643	0	0	0	261	148	340	0	0	0	450	71	164	0	0	0	407	90	212	["Federation","Starfleet","Trill","Counselor","Investigator","Marksman","nonhuman","female","organic","ds9","lieutenant","bridge_crew","dax","crew_max_rarity_3"]	Killer Instinct	Accuracy	4	6	8	10	+1250 to Crit Rating	Position				355	100	150	215	
Mirror Ezri Tigan	TRUE	Ezri	4	4	100	1	0 1 2 3	9	TRUE	Smoke and Mirrors	771	355	0	0	0	680	216	427	0	0	0	0	0	0	0	0	0	538	255	514	["Trill","Scoundrel","Smuggler","Mirror Universe","nonhuman","female","organic","ds9","mirror","dax","crew_max_rarity_4"]	Blackmail	Accuracy	7	12	12	16	+12000 to Crit Bonus	None				995	125	127	1090	
Blood Oath Jadzia Dax	TRUE	J. Dax	4	4	100	1	0 1 2 3	7	TRUE		612	203	0	0	0	0	0	0	261	174	406	0	0	0	560	181	394	844	161	305	["Federation","Starfleet","Duelist","Gambler","Tactician","Trill","Pilot","nonhuman","female","organic","ds9","lieutenant","bridge_crew","dax","crew_max_rarity_4"]	Who You've Been	Evasion	7	8	10	8						400	75	405	205	
Waitress Ezri	TRUE	E. Dax	4	4	100	1	0 1 2 3	7	TRUE		634	196	0	0	0	750	218	441	0	0	0	518	185	567	0	0	0	333	54	155	["Trill","Federation","Starfleet","Costumed","Undercover Operative","Counselor","Resourceful","nonhuman","female","organic","ds9","dax","crew_max_rarity_4"]	Slip Him a Mickey	Accuracy	7	12	5	12	Immediately deals 200% damage	None				205	145	150	575	
Klingon Bride Jadzia	TRUE	J. Dax	5	2	70	0		6	TRUE		259	59	0	0	0	447	99	158	0	0	0	0	0	0	348	54	146	132	54	118	["Federation","Starfleet","Exobiology","Astrophysicist","Trill","Gambler","Romantic","Klingon","Pilot","nonhuman","female","organic","ds9","lieutenant","bridge_crew","dax","crew_max_rarity_5"]	Lead With My Heart	Attack	7	6	8	14	+20% to Attack Speed	Cloak				750	20	455	405	
Princess Jadzia	TRUE	J. Dax	4	4	100	1	0 1 2 3	4	TRUE	Holodeck Enthusiasts	500	488	0	0	0	664	162	330	360	150	335	0	0	0	1023	85	179	0	0	0	["Federation","Starfleet","Costumed","Gambler","Royalty","Astrophysicist","Trill","Pilot","nonhuman","female","organic","ds9","lieutenant","bridge_crew","dax","crew_max_rarity_4"]	For Camelot!	Accuracy	7	6	8	10	Immediately repairs Shields by 10%	None	3			330	10	45	405	
